Date,Close/Last,Volume,Open,High,Low
05/17/2018,115.92,2148999,116.32,117.04,115.16
05/16/2018,115.68,1682248,114.72,115.84,114.40
05/15/2018,115.20,2236814,114.96,115.52,114.00
05/14/2018,115.04,2033018,114.40,115.20,114.28
05/11/2018,114.00,1758125,114.96,115.4008,113.92
05/10/2018,115.28,1952779,115.04,115.52,114.00
05/09/2018,114.96,2432978,114.16,115.28,114.08
05/08/2018,112.48,6603979,113.44,113.7464,109.24
05/07/2018,112.80,3589913,113.52,114.40,112.24
05/04/2018,112.72,2346524,110.64,113.04,110.6224
05/03/2018,110.56,1519099,109.04,110.7736,108.62
05/02/2018,109.36,1727711,108.48,110.04,108.08
05/01/2018,108.88,2010643,109.52,109.60,108.00
04/30/2018,110.40,3616221,108.96,112.00,108.80
04/27/2018,109.84,1598624,109.44,110.40,109.384
04/26/2018,110.16,2151596,110.64,110.72,109.36
04/25/2018,109.76,1707238,109.52,110.08,108.36
04/24/2018,109.44,2509204,110.80,112.00,109.0408
04/23/2018,111.36,2073303,108.88,111.52,108.40
04/20/2018,110.00,1478646,109.28,110.72,108.96
04/19/2018,110.16,2178349,111.60,112.00,109.7904
04/18/2018,111.04,3320926,109.60,111.20,109.12
04/17/2018,107.28,1643634,106.16,107.52,105.92
04/16/2018,107.04,1752065,107.92,107.992,106.7216
04/13/2018,108.40,1770183,108.40,109.12,108.00
04/12/2018,108.16,1853680,107.20,108.32,106.40
04/11/2018,107.60,3085294,106.40,108.7288,106.00
04/10/2018,106.00,2972411,104.16,106.16,104.16
04/09/2018,102.16,1601753,101.52,102.64,101.36
04/06/2018,100.08,3147073,102.40,102.76,99.76
04/05/2018,102.64,2151869,102.56,103.48,101.92
04/04/2018,102.56,2536975,100.40,102.64,100.16
04/03/2018,102.48,1146299,102.24,102.8792,101.76
04/02/2018,101.92,2413061,103.84,103.84,101.60
03/29/2018,104.72,2040523,103.92,105.28,103.52
03/28/2018,104.32,2372378,104.16,105.04,102.80
03/27/2018,104.64,2577048,106.24,106.32,104.28
03/26/2018,105.68,3121506,105.84,106.24,104.96
03/23/2018,106.24,2269751,104.72,106.40,104.64
03/22/2018,103.60,1959430,104.08,104.40,103.44
03/21/2018,105.44,2878263,103.68,105.68,103.44
03/20/2018,102.48,2281751,102.08,103.1944,101.68
03/19/2018,100.40,2854975,100.56,100.6288,99.12
03/16/2018,100.40,3485083,98.80,100.96,98.56
03/15/2018,98.72,1383985,98.80,99.32,98.32
03/14/2018,98.24,2319164,98.24,98.72,97.08
03/13/2018,97.92,3022553,98.48,99.9944,97.20
03/12/2018,98.96,2185121,99.28,99.52,97.76
03/09/2018,99.76,2423101,98.16,100.00,98.08
03/08/2018,97.20,2881111,98.56,98.64,96.64
03/07/2018,98.80,3119618,99.84,100.72,97.52
03/06/2018,100.56,2255265,100.96,101.08,100.04
03/05/2018,100.72,2456823,98.64,101.04,98.552
03/02/2018,98.96,2254714,97.76,98.96,96.80
03/01/2018,98.80,3237373,98.08,99.04,96.88
02/28/2018,98.96,3475436,101.68,102.08,98.72
02/27/2018,101.20,2128951,102.72,102.80,100.888
02/26/2018,102.88,1747928,101.84,103.32,101.4456
02/23/2018,102.16,2299849,100.88,102.56,100.76
02/22/2018,100.72,2411629,99.68,101.48,99.0656
02/21/2018,98.32,1422518,98.64,99.52,98.24
02/20/2018,99.12,2719723,99.36,100.4792,98.80
02/16/2018,99.04,2199660,98.16,99.52,97.76
02/15/2018,98.64,2405048,96.72,98.88,95.9112
02/14/2018,97.44,4467413,93.84,97.80,93.52
02/13/2018,94.96,2370136,94.32,95.432,93.68
02/12/2018,95.12,2038865,95.84,96.76,94.92
02/09/2018,94.88,5393895,96.88,97.12,93.192
02/08/2018,96.72,3407319,99.36,99.48,96.64
02/07/2018,98.96,4612659,101.76,102.48,98.24
02/06/2018,101.60,2954320,101.60,103.04,101.36
02/05/2018,102.16,3835051,104.24,104.56,101.84
02/02/2018,104.32,3591580,104.96,105.36,103.32
02/01/2018,105.92,2509151,104.64,106.08,104.24
01/31/2018,103.84,2657380,103.28,104.08,102.32
01/30/2018,103.20,4300994,103.52,103.60,102.72
01/29/2018,104.88,1975934,104.88,105.20,104.08
01/26/2018,105.92,3971980,104.88,106.32,104.80
01/25/2018,104.48,2094911,106.24,106.40,104.24
01/24/2018,105.76,3267301,103.52,105.84,103.28
01/23/2018,103.76,2073245,102.72,103.92,102.6248
01/22/2018,102.24,1866106,101.44,102.72,101.04
01/19/2018,101.76,2167358,101.44,101.924,100.888
01/18/2018,102.08,2075684,102.00,102.7992,101.60
01/17/2018,102.24,1992880,101.84,102.72,101.68
01/16/2018,102.08,2277795,102.48,102.88,101.44
01/12/2018,102.96,2833173,101.44,103.12,101.208
01/11/2018,101.60,2578790,102.08,103.36,101.60
01/10/2018,101.44,1821375,101.36,101.64,100.80
01/09/2018,100.56,2642139,99.28,101.12,98.96
